iter	Passed	Remaining
401	21821	21604
402	21873	21547
403	21909	21475
404	21945	21403
405	21981	21332
406	22017	21260
407	22056	21191
408	22095	21123
409	22143	21062
410	22180	20992
411	22219	20924
412	22272	20870
413	22326	20816
414	22386	20767
415	22436	20710
416	22480	20647
417	22541	20599
418	22618	20567
419	22684	20523
420	22720	20453
421	22781	20406
422	22838	20354
423	22906	20313
424	22971	20268
425	23045	20232
426	23091	20170
427	23146	20117
428	23205	20067
429	23263	20017
430	23296	19945
431	23351	19892
432	23400	19833
433	23444	19771
434	23500	19719
435	23550	19661
436	23597	19601
437	23652	19548
438	23695	19485
439	23746	19428
440	23798	19373
441	23850	19317
442	23914	19272
443	23958	19210
444	24007	19152
445	24076	19110
446	24126	19052
447	24182	19000
448	24227	18939
449	24280	18884
450	24329	18826
451	24406	18791
452	24483	18754
453	24563	18720
454	24637	18681
455	24726	18653
456	24761	18584
457	24849	18555
458	24934	18523
459	25012	18487
460	25073	18438
461	25139	18392
462	25163	18315
463	25245	18281
464	25323	18243
465	25409	18211
466	25455	18151
467	25502	18091
468	25553	18034
469	25570	17953
470	25620	17896
471	25686	17849
472	25752	17803
473	25834	17768
474	25910	17728
475	25956	17667
476	25990	17599
477	26022	17529
478	26074	17473
479	26144	17429
480	26240	17402
481	26310	17358
482	26343	17289
483	26375	17220
484	26407	17151
485	26439	17082
486	26470	17012
487	26506	16946
488	26562	16893
489	26581	16817
490	26632	16760
491	26670	16696
492	26727	16643
493	26777	16586
494	26826	16529
495	26873	16471
496	26916	16410
497	26969	16354
498	27028	16303
499	27096	16258
500	27154	16205
501	27191	16141
502	27249	16089
503	27301	16034
504	27355	15979
505	27409	15925
506	27462	15870
507	27475	15793
508	27524	15736
509	27589	15688
510	27665	15646
511	27739	15603
512	27807	15557
513	27876	15510
514	27954	15469
515	28075	15452
516	28135	15400
517	28168	15335
518	28203	15270
519	28234	15203
520	28286	15147
521	28362	15104
522	28409	15046
523	28467	14994
524	28501	14929
525	28571	14883
