iter	RMSE
0	12.66649075
1	12.57781468
2	12.49655639
3	12.41539972
4	12.3305479
5	12.24673561
6	12.16191423
7	12.08291145
8	12.00284057
9	11.91990741
10	11.84553798
11	11.77099669
12	11.69245715
13	11.61486865
14	11.53999068
15	11.46497029
16	11.3899464
17	11.31611566
18	11.24211325
19	11.17055043
20	11.10168957
21	11.03412861
22	10.96941016
23	10.90492243
24	10.83479982
25	10.77354053
26	10.71141672
27	10.64590471
28	10.5810014
29	10.52083707
30	10.45628053
31	10.393688
32	10.33369853
33	10.2764709
34	10.21970857
35	10.1613554
36	10.10130365
37	10.04551669
38	9.989591903
39	9.93393322
40	9.885857356
41	9.83339417
42	9.778016178
43	9.722263941
44	9.671717366
45	9.619746677
46	9.562460284
47	9.511394482
48	9.460313714
49	9.407814091
50	9.359613671
51	9.311847161
52	9.265034522
53	9.216391402
54	9.168173643
55	9.124035457
56	9.072274441
57	9.02702521
58	8.983566983
59	8.939272778
60	8.895943978
61	8.851533609
62	8.811313475
63	8.767153474
64	8.722077651
65	8.684047709
66	8.644503038
67	8.600243355
68	8.560303162
69	8.519546764
70	8.482077358
71	8.441936086
72	8.400818798
73	8.362702033
74	8.327958986
75	8.286150182
76	8.24917075
77	8.214252078
78	8.177624566
79	8.143475207
80	8.107246723
81	8.071477712
82	8.03507418
83	8.001703799
84	7.968145041
85	7.935037268
86	7.902859011
87	7.872314428
88	7.839499428
89	7.803679822
90	7.772598541
91	7.741604375
92	7.712899656
93	7.681751832
94	7.652740797
95	7.62643377
96	7.596007381
97	7.566140408
98	7.541513221
99	7.513254692
100	7.486644177
101	7.460938245
102	7.433234849
103	7.407626539
104	7.381743649
105	7.355395961
106	7.330750238
107	7.304480318
108	7.282066996
109	7.258286377
110	7.235699438
111	7.207700107
112	7.184566225
113	7.160244749
114	7.130234607
115	7.103612867
116	7.078401496
117	7.05547561
118	7.031953503
119	7.009266709
120	6.987864921
121	6.962233628
122	6.940179779
123	6.917817352
124	6.895115262
125	6.870037267
126	6.850992424
127	6.828524054
128	6.80694872
129	6.781854512
130	6.762690102
131	6.743705204
132	6.72474797
133	6.705850027
134	6.686729673
135	6.669474994
136	6.645863072
137	6.627984964
138	6.609080721
139	6.591147167
140	6.572139864
141	6.549599942
142	6.531614625
143	6.514485345
144	6.497301538
145	6.479911223
146	6.459389535
147	6.439461967
148	6.41970432
149	6.39895988
150	6.382008922
151	6.367658375
152	6.352341592
153	6.339282446
154	6.324306231
155	6.308242302
156	6.291324716
157	6.275681805
158	6.261725174
159	6.245231013
160	6.231807182
161	6.216529523
162	6.201470291
163	6.183668019
164	6.171586584
165	6.1549523
166	6.140358713
167	6.129975944
168	6.114265722
169	6.102311013
170	6.088877269
171	6.072861425
172	6.056481322
173	6.045318558
174	6.033137103
175	6.023297281
176	6.012386345
177	6.000067203
178	5.988028889
179	5.976874764
180	5.965398576
181	5.956235174
182	5.945220211
183	5.934148882
184	5.920043749
185	5.907230844
186	5.892331432
187	5.878429254
188	5.864407755
189	5.855725007
190	5.843973896
191	5.832312138
192	5.822566125
193	5.810168711
194	5.797839875
195	5.786693842
196	5.776757319
197	5.765323046
198	5.755447475
199	5.743764366
200	5.734440223
201	5.726540913
202	5.718154557
203	5.710321464
204	5.698184425
205	5.687353704
206	5.676332703
207	5.668294251
208	5.660034245
209	5.651579646
210	5.642358765
211	5.631711683
212	5.623982635
213	5.614158298
214	5.602833995
215	5.595111159
216	5.587240229
217	5.576736208
218	5.57029501
219	5.562249474
220	5.554250177
221	5.544029769
222	5.534295828
223	5.526676046
224	5.520016444
225	5.50972588
226	5.504010383
227	5.497498875
228	5.490821163
229	5.483653429
230	5.473728713
231	5.466676889
232	5.460045263
233	5.452973497
234	5.443448908
235	5.437326939
236	5.429539846
237	5.424273012
238	5.415630702
239	5.40964051
240	5.401322985
241	5.395885532
242	5.39026352
243	5.384593142
244	5.378808856
245	5.370021679
246	5.362339317
247	5.354505279
248	5.346931907
249	5.339430574
250	5.331282688
251	5.326542678
252	5.320001791
253	5.312076373
254	5.307066761
255	5.302124911
256	5.296773779
257	5.28970048
258	5.281921386
259	5.274321278
260	5.269597591
261	5.26436601
262	5.258032964
263	5.253113941
264	5.246901135
265	5.240573906
266	5.234135277
267	5.227742701
268	5.222832189
269	5.218295338
270	5.213882529
271	5.208463223
272	5.202650965
273	5.198048218
274	5.192657944
275	5.189428991
276	5.18398101
277	5.178824368
278	5.172543939
279	5.168713777
280	5.163450856
281	5.159028943
282	5.15469906
283	5.14886758
284	5.144402499
285	5.140746962
286	5.136257098
287	5.131801521
288	5.126929221
289	5.122782177
290	5.116895002
291	5.11150808
292	5.107880044
293	5.101906609
294	5.097161922
295	5.091535045
296	5.085854238
297	5.082269593
298	5.077393313
299	5.07254847
300	5.068602054
301	5.064577044
302	5.059992574
303	5.056792395
304	5.053222929
305	5.049294888
306	5.045654565
307	5.042568414
308	5.040097099
309	5.036555327
310	5.032269313
311	5.028738842
312	5.025271649
313	5.020624957
314	5.017391206
315	5.014257762
316	5.010033846
317	5.006233883
318	5.004247632
319	5.000350572
320	4.997233228
321	4.993826273
322	4.990159117
323	4.986611312
324	4.983685688
325	4.980591532
326	4.976827528
327	4.972826086
328	4.96895146
329	4.96304541
330	4.959719077
331	4.955735002
332	4.951673382
333	4.949143288
334	4.946239903
335	4.943698654
336	4.940839163
337	4.937107671
338	4.935106544
339	4.932624942
340	4.929044658
341	4.925662529
342	4.922948683
343	4.920202953
344	4.917589307
345	4.914114724
346	4.912234007
347	4.909556214
348	4.906793236
349	4.903702517
350	4.899468219
351	4.896120346
352	4.893436444
353	4.890360877
354	4.888059506
355	4.88513297
356	4.882760671
357	4.878893044
358	4.875298752
359	4.873066143
360	4.871813769
361	4.869974857
362	4.868502518
363	4.86693801
364	4.864699814
365	4.862798812
366	4.861170888
367	4.857482508
368	4.855102066
369	4.853109332
370	4.851190681
371	4.848935922
372	4.846404142
373	4.844772405
374	4.840338543
375	4.839279518
376	4.837159292
377	4.83464605
378	4.832734698
379	4.830182443
380	4.827793689
381	4.825710542
382	4.823014294
383	4.820292627
384	4.817235824
385	4.815529333
386	4.812168934
387	4.811082304
388	4.807366215
389	4.806038563
390	4.802305171
391	4.799582592
392	4.797642277
393	4.794869324
394	4.792701294
395	4.790496687
396	4.78813435
397	4.784397245
398	4.782290875
399	4.77925984
400	4.777533869
401	4.77652874
402	4.773657864
403	4.771555875
404	4.768556044
405	4.766248195
406	4.762715265
407	4.761569664
408	4.759987034
409	4.757755743
410	4.755938716
411	4.754500802
412	4.752325076
413	4.750248953
414	4.74864215
415	4.745029125
416	4.743075598
417	4.739771623
418	4.738037607
419	4.735981078
420	4.735590179
421	4.734419387
422	4.732379445
423	4.731444609
424	4.729777532
425	4.727304357
426	4.72647045
427	4.724601507
428	4.721681962
429	4.72053025
430	4.719489231
431	4.718235933
432	4.717166746
433	4.715565547
434	4.712171536
435	4.709571735
436	4.708227655
437	4.706269187
438	4.703822606
439	4.702623941
440	4.700760876
441	4.698681227
442	4.69571025
443	4.694138075
444	4.691713713
445	4.691047711
446	4.690518996
447	4.68905409
448	4.686953833
449	4.68591971
450	4.683189249
451	4.681897941
452	4.679816191
453	4.677658837
454	4.676049156
455	4.67423984
456	4.673708293
457	4.67268963
458	4.671380477
459	4.670176459
460	4.669214253
461	4.66793108
462	4.667778185
463	4.666402206
464	4.664505553
465	4.662503493
466	4.661093992
467	4.660087732
468	4.65740973
469	4.657180156
470	4.655789531
471	4.654429602
472	4.652752813
473	4.651401289
474	4.650134394
475	4.649046776
476	4.646314717
477	4.643690148
478	4.641748976
479	4.640374923
480	4.639054189
481	4.638086861
482	4.636415091
483	4.633499422
484	4.632349065
485	4.630505974
486	4.629521349
487	4.628165796
488	4.626626489
489	4.626488657
490	4.625145571
491	4.623548513
492	4.622690751
493	4.620893137
494	4.620183778
495	4.617861792
496	4.616036218
497	4.615249598
498	4.612691662
499	4.610740817
500	4.609177458
501	4.608712733
502	4.607736497
503	4.605710795
504	4.604237724
505	4.603051442
506	4.601221851
507	4.601069992
508	4.600008698
509	4.599019657
510	4.598071585
511	4.597518694
512	4.596891472
513	4.595966088
514	4.593842962
515	4.593138458
516	4.591831302
517	4.59112153
518	4.589934998
519	4.588301758
520	4.587148385
521	4.58604952
522	4.585649903
523	4.584424273
524	4.58413482
525	4.582486323
526	4.581777592
527	4.581102638
528	4.580339782
529	4.579354991
530	4.578649566
531	4.57795826
532	4.576122281
533	4.575438291
534	4.574730862
535	4.57457672
536	4.573271011
537	4.57232904
538	4.571250283
539	4.569578981
540	4.568625883
541	4.567557398
542	4.567352539
543	4.565827126
544	4.565549401
545	4.564647809
546	4.563771896
547	4.563162372
548	4.56257492
549	4.561941978
550	4.561221418
551	4.560320752
552	4.559738348
553	4.559085294
554	4.556669677
555	4.556009672
556	4.554315243
557	4.553370576
558	4.553206286
559	4.552320902
560	4.552202835
561	4.5504329
562	4.550032816
563	4.548968797
564	4.548467605
565	4.547998501
566	4.547270471
567	4.546722854
568	4.54578217
569	4.54562811
570	4.545270036
571	4.544362704
572	4.542558855
573	4.542288703
574	4.541106437
575	4.540397992
576	4.538968343
577	4.538285124
578	4.537359296
579	4.535977631
580	4.53484779
581	4.534210584
582	4.533368828
583	4.533175107
584	4.532471945
585	4.531559154
586	4.530844497
587	4.530329882
588	4.528921943
589	4.527895398
590	4.526023352
591	4.525300169
592	4.524408484
593	4.523651429
594	4.522526426
595	4.520860248
596	4.520271385
597	4.51884369
598	4.516694294
599	4.515480467
600	4.513899019
601	4.512747719
602	4.512147181
603	4.511241014
604	4.510104292
605	4.509504829
606	4.509151695
607	4.508981916
608	4.508253283
609	4.507520246
610	4.506933576
611	4.50608397
612	4.505098615
613	4.504429437
614	4.503321768
615	4.50319056
616	4.502631874
617	4.502178563
618	4.500288696
619	4.499257711
620	4.497604503
621	4.496198024
622	4.494919667
623	4.494194437
624	4.493403958
625	4.492573795
626	4.492007387
627	4.491304107
628	4.490932106
629	4.490155012
630	4.489250064
631	4.488406703
632	4.487934794
633	4.486960664
634	4.485774149
635	4.484205846
636	4.483356924
637	4.48245931
638	4.481402797
639	4.480991507
640	4.479819328
641	4.47782702
642	4.477031367
643	4.47669502
644	4.475886214
645	4.474908581
646	4.474160731
647	4.473321103
648	4.47283548
649	4.471926854
650	4.470368734
651	4.47004887
652	4.468424203
653	4.466762945
654	4.466160517
655	4.465563273
656	4.464453943
657	4.463377449
658	4.462937415
659	4.461605238
660	4.460840843
661	4.459799099
662	4.457883365
663	4.457035878
664	4.456217019
665	4.455132345
666	4.454607517
667	4.454390593
668	4.454089602
669	4.453489375
670	4.453126706
671	4.452356571
672	4.451889518
673	4.45107243
674	4.450595731
675	4.449518629
676	4.448702878
677	4.448426836
678	4.447426854
679	4.447156536
680	4.445876779
681	4.445387335
682	4.444545953
683	4.443351684
684	4.443119548
685	4.441827273
686	4.441137189
687	4.440306688
688	4.440175195
689	4.439578046
690	4.438920889
691	4.437861407
692	4.437290742
693	4.435864221
694	4.435199561
695	4.434593636
696	4.434160779
697	4.433873696
698	4.433086032
699	4.432689097
700	4.431834399
701	4.431009282
702	4.43024299
703	4.429825843
704	4.429368283
705	4.428497949
706	4.428403036
707	4.427703743
708	4.425930416
709	4.425210769
710	4.423348098
711	4.422734032
712	4.421550718
713	4.421493206
714	4.420998595
715	4.42034648
716	4.420058225
717	4.419004803
718	4.417844855
719	4.416607676
720	4.415889649
721	4.415021976
722	4.414237424
723	4.413836172
724	4.412646283
725	4.412551575
726	4.412093661
727	4.411016168
728	4.410872523
729	4.410263951
730	4.409638297
731	4.408972657
732	4.408474677
733	4.407450163
734	4.406530099
735	4.405957525
736	4.405264934
737	4.40479633
738	4.404335082
739	4.403924368
740	4.403450133
741	4.402565196
742	4.402229498
743	4.401488914
744	4.40066213
745	4.400369905
746	4.399282492
747	4.398713685
748	4.398187022
749	4.397355859
750	4.396638961
751	4.39602874
752	4.395204382
753	4.394701371
754	4.394035914
755	4.393623563
756	4.39315323
757	4.392666591
758	4.392246452
759	4.39119177
760	4.389420382
761	4.389215899
762	4.388296558
763	4.387817453
764	4.387132367
765	4.386350139
766	4.38555352
767	4.38472991
768	4.384021392
769	4.383375389
770	4.38243487
771	4.381793493
772	4.380538414
773	4.379331283
774	4.378933444
775	4.378668008
776	4.377375465
777	4.376940503
778	4.37666261
779	4.376253005
780	4.37511778
781	4.374514473
782	4.373373388
783	4.372812863
784	4.37196159
785	4.371266674
786	4.370861099
787	4.370243121
788	4.36964534
789	4.3689721
790	4.368427883
791	4.367974118
792	4.367438243
793	4.367232081
794	4.366776349
795	4.366548
796	4.365741365
797	4.365576178
798	4.364754063
799	4.363772464
